a;a;a;a;a;a;;;;0.04
b;b;b;b;b;b;;;;
x; q*1000 ; l ; d ; D ; N ; S ; C ; M ; R 
61;17.54;7,954,352;139,519;1763798.694;24,063,841;238,970,654;30,182;1,176,876;18,235,288
62;19.19;7,814,833;149,967;1690596.819;22,300,042;214,906,813;31,651;1,146,693;17,058,412
63;21.06;7,664,866;161,422;1617711.404;20,609,445;192,606,771;33,238;1,115,042;15,911,719
64;23.14;7,503,444;173,630;1545016.994;18,991,734;171,997,326;34,880;1,081,804;14,796,677
65;25.42;7,329,814;186,324;1472453.89;17,446,717;153,005,593;36,517;1,046,924;13,714,873
66;27.85;7,143,490;198,946;1400023.499;15,974,263;135,558,876;38,040;1,010,407;12,667,949
67;30.44;6,944,544;211,392;1327836.959;14,574,239;119,584,613;39,434;972,368;11,657,541
68;33.19;6,733,152;223,473;1256017.158;13,246,402;105,010,374;40,670;932,934;10,685,174
69;36.17;6,509,679;235,455;1184712.202;11,990,385;91,763,972;41,806;892,264;9,752,239
70;39.51;6,274,224;247,895;1114010.905;10,805,673;79,773,586;42,941;850,458;8,859,976
71;43.3;6,026,329;260,940;1043898.792;9,691,662;68,967,914;44,098;807,517;8,009,518
72;47.65;5,765,389;274,721;974339.4947;8,647,763;59,276,252;45,295;763,418;7,202,001
73;52.64;5,490,668;289,029;905280.1771;7,673,424;50,628,488;46,492;718,124;6,438,583
74;58.19;5,201,639;302,683;836708.4777;6,768,144;42,955,065;47,500;671,632;5,720,459
75;64.19;4,898,956;314,464;768800.4599;5,931,435;36,186,921;48,146;624,131;5,048,827
76;70.53;4,584,492;323,344;701903.567;5,162,635;30,255,486;48,298;575,986;4,424,696
77;77.12;4,261,148;328,620;636486.1875;4,460,731;25,092,851;47,889;527,688;3,848,710
78;83.9;3,932,528;329,939;573073.4956;3,824,245;20,632,120;46,908;479,799;3,321,022
79;91.05;3,602,589;328,016;512187.9451;3,251,171;16,807,875;45,497;432,891;2,841,223
80;98.84;3,274,573;323,659;454198.2382;2,738,983;13,556,704;43,798;387,394;2,408,332
81;107.48;2,950,914;317,164;399322.2009;2,284,785;10,817,720;41,872;343,596;2,020,938
82;117.25;2,633,750;308,807;347710.3247;1,885,463;8,532,935;39,775;301,723;1,677,343
83;128.26;2,324,943;298,197;299454.9403;1,537,753;6,647,472;37,471;261,949;1,375,619
84;140.25;2,026,746;284,251;254679.8771;1,238,298;5,109,720;34,848;224,477;1,113,670
85;152.95;1,742,495;266,515;213620.5271;983,618;3,871,422;31,876;189,630;889,193
86;166.09;1,475,980;245,146;176533.8729;769,997;2,887,804;28,605;157,753;699,563
87;179.55;1,230,834;220,996;143622.7359;593,463;2,117,807;25,158;129,148;541,810
88;193.27;1,009,838;195,171;114961.2705;449,841;1,524,343;21,677;103,990;412,662
89;207.29;814,667;168,872;90480.73184;334,879;1,074,503;18,298;82,313;308,672
90;221.77;645,795;143,218;69975.6261;244,399;739,623;15,140;64,015;226,359
91;236.98;502,577;119,101;53128.90425;174,423;495,224;12,283;48,875;162,344
92;253.45;383,476;97,192;39549.64345;121,294;320,801;9,779;36,591;113,470
93;272.11;286,284;77,901;28805.6444;81,745;199,507;7,647;26,812;76,879
94;295.9;208,383;61,661;20455.91636;52,939;117,763;5,905;19,165;50,067
95;329.96;146,722;48,412;14051.67272;32,483;64,824;4,523;13,259;30,902
96;384.55;98,310;37,805;9185.580731;18,431;32,341;3,446;8,736;17,643
97;480.2;60,505;29,054;5515.391205;9,246;13,909;2,584;5,290;8,906
98;657.98;31,451;20,694;2797.020505;3,730;4,664;1,795;2,706;3,617
99;1,000.00;10,757;10,757;933.3155353;933;933;911;911;911
100;1000;0;0;0;0;0;0;0;0
